,,,,ترانه هاي قديمي,,,,,
,,,,CD 1 (1 - 23),,,,,
,,,,51,ديده مپوشان ز تماشاي گل,مرضيه,عارف,عارف,ماهور
,,,,52-1,گريه را به مستي بهانه كردم,شهيدي,عارف,عارف,دشتي
,,,,52-2,گريه را به مستي بهانه كردم,مرضيه,عارف,عارف,دشتي
,,,,52-3,گريه را به مستي بهانه كردم,شجريان,عارف,عارف,دشتي
,,,,52-4,گريه را به مستي بهانه كردم,كرامتي,عارف,عارف,دشتي
,,,,52-5,گريه را به مستي بهانه كردم,حميرا,عارف,عارف,دشتي
,,,,52-6,گريه را به مستي بهانه كردم,كرامتي,عارف,عارف,دشتي
,,,,53-1,گريه كن كه گر سيل خون گري,قمر,عارف,عارف,دشتي
,,,,53-2,گريه كن كه گر سيل خون گري,بنان,عارف,عارف,دشتي
,,,,53-3,گريه كن كه گر سيل خون گري,شهيدي,عارف,عارف,دشتي
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,53-4,گريه كن كه گر سيل خون گري,شاهرخ,عارف,عارف,دشتي
,,,,53-5,گريه كن كه گر سيل خون گري,ناظري,عارف,عارف,دشتي
,,,,53-6,گريه كن كه گر سيل خون گري,كرامتي,عارف,عارف,دشتي
,,,,53-7,گريه كن كه گر سيل خون گري,بسطامي,عارف,عارف,دشتي
,,,,54-1,نمي دانم چه در پيمانه كردي,الهه,عارف,عارف,افشاري
,,,,54-2,نمي دانم چه در پيمانه كردي,پريسا,عارف,عارف,افشاري
,,,,54-3,نمي دانم چه در پيمانه كردي,سيما مافيها,عارف,عارف,افشاري
,,,,54-4,نمي دانم چه در پيمانه كردي,كرامتي,عارف,عارف,افشاري
,,,,55-1,هنگام مي و فصل گل و گشت و (از خون جوانان وطن),الهه,عارف,عارف,دشتي
,,,,55-2,هنگام مي و فصل گل و گشت و,سيما مافيها,عارف,عارف,دشتي
,,,,55-3,هنگام مي و فصل گل و گشت و,پريسا,عارف,عارف,دشتي
,,,,55-4,هنگام مي و فصل گل و گشت و,پريسا,عارف,عارف,دشتي
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,55-5,هنگام مي و فصل گل و گشت و,سالار عقيلي,عارف,عارف,دشتي
,,,,55-6,هنگام مي و فصل گل و گشت و,كارگشا,عارف,عارف,دشتي
,,,,55-7,هنگام مي و فصل گل و گشت و,محسن كرامتي,عارف,عارف,دشتي
,,,,56-1,از خون جوانان وطن,شجريان,عارف,عارف,دشتي
,,,,56-2,از خون جوانان وطن,كرامتي,عارف,عارف,دشتي
,,,,ترانه هاي قمرالملوك وزيري,,,,,
,,,,CD 3 (57 - 65),,,,,
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,57-1,آتشي در سينه دارم جاوداني,قمر,مرتضي ني داوود,پژمان بختياري,شور (دشتي)
,,,,57-2,آتشي در سينه دارم جاوداني,روح انگيز,مرتضي ني داوود,پژمان بختياري,شور (دشتي)
,,,,57-3,آتشي در سينه دارم جاوداني,شهيدي,مرتضي ني داوود,پژمان بختياري,شور (دشتي)
,,,,57-4,آتشي در سينه دارم جاوداني,هنگامه اخوان,مرتضي ني داوود,پژمان بختياري,شور (دشتي)
,,,,57-5,آتشي در سينه دارم جاوداني,صديق تعريف,مرتضي ني داوود,پژمان بختياري,شور (دشتي)
,,,,57-6,آتشي در سينه دارم جاوداني,شيدا - جاهد,مرتضي ني داوود,پژمان بختياري,شور (دشتي)
,,,,57-7,آتشي در سينه دارم جاوداني,منيژه دروديان,مرتضي ني داوود,پژمان بختياري,شور (دشتي)
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,57-8,آتشي در سينه دارم جاوداني,همايون شجريان,مرتضي ني داوود,پژمان بختياري,شور (دشتي)
,,,,58-1,امان از اين دل كه داد,قمر,امير جاهد,امير جاهد,سه گاه
,,,,58-2,امان از اين دل كه داد,سروش ايزدي,امير جاهد,امير جاهد,سه گاه
,,,,59-1,تا من آن نرگس مست تو ديدم (نرگس مست),قمر,امير جاهد,امير جاهد,شور
,,,,59-2,تا من آن نرگس مست تو ديدم,شهيدي,امير جاهد,امير جاهد,شور
,,,,59-3,تا من آن نرگس مست تو ديدم,تعريف,امير جاهد,امير جاهد,شور
,,,,59-4,تا من آن نرگس مست تو ديدم,سيامك شجريان,امير جاهد,امير جاهد,شور
,,,,60-1,در بهار اميد بايد آنچه روييد,قمر,امير جاهد,امير جاهد,افشاري
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,60-2,در بهار اميد بايد آنچه روييد,ناظري,امير جاهد,امير جاهد,افشاري
,,,,61-1,ز من نگارم خبر ندارد (ز من نگارم),قمر,درويش خان,بهار,ماهور
,,,,61-2,ز من نگارم خبر ندارد,مرضيه,درويش خان,بهار,ماهور
,,,,61-3,ز من نگارم خبر ندارد,شهيدي,درويش خان,بهار,ماهور
,,,,61-4,ز من نگارم خبر ندارد,ناصح پور,درويش خان,بهار,ماهور
,,,,61-5,ز من نگارم خبر ندارد,شجريان,درويش خان,بهار,ماهور
,,,,61-6,ز من نگارم خبر ندارد,شجريان,درويش خان,بهار,ماهور
,,,,61-7,ز من نگارم خبر ندارد,افتخاري,درويش خان,بهار,ماهور
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,61-8,ز من نگارم خبر ندارد,پريسا,درويش خان,بهار,ماهور
,,,,62-1,عروس گل از باد صبا (عروس گل),سيما بينا,درويش خان,بهار,سه گاه
,,,,63-1,مرغ سحر ناله سر كن,قمر,مرتضي ني داوود,بهار,ماهور
,,,,63-2,مرغ سحر ناله سر كن,ايران الدوله,مرتضي ني داوود,بهار,ماهور
,,,,63-3,مرغ سحر ناله سر كن,ملوك ضرابي,مرتضي ني داوود,بهار,ماهور
,,,,63-4,مرغ سحر ناله سر كن,روح انگيز,مرتضي ني داوود,بهار,ماهور
